ID2005,WTR USED NET FOR EMAIL 2005, WTR USED NET FOR SCHOOL 2005, WTR USED NET TO SHOP 2005,WTR USED NET FOR GAMES 2005,HOW OFN WRY ABT MONEY 2005,HOW OFN WRY ABT FUTURE JOB 2005,HOW OFN FEEL DISCOURAGED 2005,LIKELIHOOD OF DIVORCE 2005,AVG HRS/WK WORKED 2005,HOW OFN MSCLBLD 2005,NMBR OF HRS OF SLP IN 24HR 2005,FREQ OF SNCK INSTD OF MEAL 2005,HOW OFN HAVE DRINKS 2005,ID2007,WTR USED NET FOR EMAIL 2007,WTR USED NET FOR SCHOOL 2007,WTR USED NET TO SHOP 2007,WTR USED NET FOR GAMES 2007,HOW OFN WRY ABT MONEY 2007,HOW OFN WRY ABT FUTURE JOB 2007,HOW OFN FEEL DISCOURAGED 2007,LIKELIHOOD OF DIVORCE 2007,AVG HRS/WK WORKED 2007,HOW OFN MSCLBLD 2007,NMBR OF HRS OF SLP IN 24HR 2007,FREQ OF SNCK INSTD OF MEAL 2007,HOW OFN HAVE DRINKS 2007,FRQ ATD RELIG PAST YR 2007,ID2009,WTR USED NET FOR EMAIL 2009,WTR USED NET FOR SCHOOL 2009,WTR USED NET TO SHOP 2009,WTR USED NET FOR GAMES 2009,HOW OFN WRY ABT MONEY 2009,HOW OFN WRY ABT FUTURE JOB 2009,HOW OFN FEEL DISCOURAGED 2009,LIKELIHOOD OF DIVORCE 2009,AVG HRS/WK WORKED 2009,HOW OFN MSCLBLD 2009,NMBR OF HRS OF SLP IN 24HR 2009,FREQ OF SNCK INSTD OF MEAL 2009,HOW OFN HAVE DRINKS 2009,ID2011,WTR USED NET FOR EMAIL 2011,WTR USED NET FOR SCHOOL 2011,WTR USED NET TO SHOP 2011,WTR USED NET FOR GAMES 2011,HOW OFN WRY ABT MONEY 2011,HOW OFN WRY ABT FUTURE JOB 2011,HOW OFN FEEL DISCOURAGED 2011,LIKELIHOOD OF DIVORCE 2011,AVG HRS/WK WORKED 2011,HOW OFN MSCLBLD 2011,NMBR OF HRS OF SLP IN 24HR 2011,FREQ OF SNCK INSTD OF MEAL 2011,HOW OFN HAVE DRINKS 2011,ID2013,WTR USED NET FOR EMAIL 2013,WTR USED NET FOR SCHOOL 2013,WTR USED NET TO SHOP 2013,WTR USED NET FOR GAMES 2013,HOW OFN WRY ABT MONEY 2013,HOW OFN WRY ABT FUTURE JOB 2013,HOW OFN FEEL DISCOURAGED 2013,LIKELIHOOD OF DIVORCE 2013,AVG HRS/WK WORKED 2013,HOW OFN MSCLBLD 2013,NMBR OF HRS OF SLP IN 24HR 2013,FREQ OF SNCK INSTD OF MEAL 2013,HOW OFN HAVE DRINKS 2013,ID2015,WTR USED NET FOR EMAIL 2015,WTR USED NET FOR SCHOOL 2015,WTR USED NET TO SHOP 2015,WTR USED NET FOR GAMES 2015,HOW OFN WRY ABT MONEY 2015,HOW OFN WRY ABT FUTURE JOB 2015,HOW OFN FEEL DISCOURAGED 2015,LIKELIHOOD OF DIVORCE 2015,AVG HRS/WK WORKED 2015,HOW OFN MSCLBLD 2015,NMBR OF HRS OF SLP IN 24HR 2015,FREQ OF SNCK INSTD OF MEAL 2015,HOW OFN HAVE DRINKS 2015
1288,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,8582,0,0,0,0,7,1,3,3,998,6,8,4,5,2845,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
6880,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,8180,3,1,1,1,7,2,3,2,0,0,6,5,3,7655,4,1,2,2,6,5,6,3,0,0,6,4,2,8569,,,,,,,,,,,,,,0,,,,,,,,,,,,,
289,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,13,6,2,3,1,6,7,5,2,20,4,4,5,0,1602,6,7,3,6,7,1,1,2,0,0,4,6,0,8698,5,1,2,4,7,1,7,2,0,0,5,6,0,7304,5,7,2,4,7,7,5,5,0,0,3,5,0
1157,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,684,,,,,,,,,,,,,,2147,1,7,1,1,7,7,5,1,0,0,9,5,0,5963,6,1,1,1,7,7,7,1,0,0,10,6,1,1032,1,1,1,1,7,7,7,3,0,5,8,5,3
771,1,7,2,7,3,1,1,3,0,0,8,3,1,1130,4,1,1,1,2,7,3,3,0,0,8,5,3,0,77,6,7,2,3,4,4,5,3,0,0,8,5,1,1839,5,1,2,1,4,5,4,5,0,0,8,2,0,2176,,,,,,,,,,,,,,3252,,,,,,,,,,,,,
624,4,3,3,7,7,7,7,2,0,3,6,5,2,8069,6,7,4,7,1,5,2,1,0,0,6,6,0,0,3976,6,1,2,1,1,5,4,1,0,0,7,6,0,8389,5,1,2,1,2,3,2,1,0,0,7,5,1,5048,,,,,,,,,,,,,,0,,,,,,,,,,,,,
1504,,,,,,,,,,,,,,7756,,,,,,,,,,,,,,,8470,,,,,,,,,,,,,,975,,,,,,,,,,,,,,6170,,,,,,,,,,,,,,7098,1,1,1,3,5,6,6,2,42,0,8,4,3
1202,6,5,1,1,1,1,1,1,0,6,6,5,5,5967,6,6,3,1,5,6,2,1,0,0,6,4,4,5,858,6,6,2,1,2,5,6,1,0,0,7,5,5,7106,6,7,2,1,2,5,5,3,0,0,7,4,5,3221,,,,,,,,,,,,,,2679,,,,,,,,,,,,,
571,,,,,,,,,,,,,,1154,7,7,7,7,5,2,1,2,40,6,8,6,1,0,6730,0,0,0,0,4,4,2,3,0,0,12,5,0,83,7,7,2,2,6,5,5,2,0,0,9,1,0,6276,0,0,0,0,7,5,5,2,0,0,9,5,1,5421,,,,,,,,,,,,,
571,,,,,,,,,,,,,,482,2,7,7,7,7,4,1,2,25,6,8,5,0,0,3836,5,1,1,1,7,3,4,0,0,0,9,5,0,177,2,1,1,1,4,1,7,2,0,0,6,4,0,4127,6,7,3,6,1,1,1,2,0,0,6,5,2,3786,2,1,4,2,1,1,3,3,0,0,7,4,0
562,,,,,,,,,,,,,,1411,,,,,,,,,,,,,,,576,1,3,1,2,4,5,4,3,0,3,4,2,0,1100,3,2,1,3,4,4,4,2,0,1,8,2,2,2820,,,,,,,,,,,,,,2000,6,2,3,4,4,5,5,2,0,2,8,5,2
562,,,,,,,,,,,,,,1411,,,,,,,,,,,,,,,576,,,,,,,,,,,,,,1100,1,1,1,3,1,7,1,3,0,3,8,2,3,8359,1,1,7,7,7,7,7,3,0,0,2,1,2,5709,6,2,1,1,7,1,7,3,0,0,5,2,3
82,,,,,,,,,,,,,,904,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,43,,,,,,,,,,,,,,3305,6,2,7,3,4,7,3,1,0,2,5,2,0,3856,6,1,2,1,6,7,4,1,44,0,8,4,1
104,,,,,,,,,,,,,,2208,,,,,,,,,,,,,,,4986,,,,,,,,,,,,,,6885,,,,,,,,,,,,,,8696,5,1,1,1,5,4,5,1,0,0,8,2,0,7575,6,5,6,3,4,6,5,1,40,0,8,2,0
104,,,,,,,,,,,,,,2208,,,,,,,,,,,,,,,4986,,,,,,,,,,,,,,6885,,,,,,,,,,,,,,8696,,,,,,,,,,,,,,6743,3,4,3,2,5,3,4,3,37,0,9,5,0
